id;indentify_card_1;indentify_card_2;driving_license_1;driving_license_2;status
1;monetize payment;Frozen Realigned mobile;Jersey initiatives Producer;Managed Program;32862
2;Savings Bike;Nevada;Nauru;Steel analyzing;14265
3;Checking District;Multi-tiered;Music Money;silver administration Riel;54561
4;interface Ergonomic enterprise;task-force interface;Mongolia payment;generate Orchestrator;37684
5;Honduras sexy Assurance;Sleek;Buckinghamshire Auto;Intelligent;38224
6;eyeballs incentivize;Central;Secured schemas;Nevada Intelligent Games;60871
7;mindshare;Refined uniform;input;global;54598
8;Computers;Regional;Chips Streamlined black;FTP invoice;77494
9;Jewelery;Idaho;clear-thinking Rhode;Books;1006
10;Loan;Delaware;Ergonomic;Granite grey system;56691
